system:index,elevation,label,lossyear,ndvi,slope,treecover2000,.geo
14243,109,1,18,0.4302577078342438,5.545237782158557,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
14427,432,1,6,0.16167443990707397,2.5625316627371513,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
14601,53,1,20,0.6475185751914978,3.4947422242924926,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
14717,254,1,10,0.3124295175075531,2.158334218371093,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
15137,38,1,3,0.4580463171005249,2.7915168073326844,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
15209,101,1,15,0.4777233600616455,3.849872567179194,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
15368,316,0,21,0.2929918169975281,0.9274099368611016,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
15440,51,1,14,0.5344758629798889,1.3190112899096482,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
15446,561,1,20,0.3355598449707031,2.022356958574482,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
15500,703,1,17,0.6710551977157593,7.619845439393565,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
15727,866,1,7,0.18687483668327332,6.668571850016633,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
15728,41,0,24,0.48653262853622437,5.675715422779645,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
16031,915,0,22,0.41325756907463074,16.296288752774043,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
16099,497,1,14,0.3518748879432678,6.5128934740949225,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
16314,50,1,5,0.4849010705947876,2.073199510574341,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
16340,201,1,18,0.666724443435669,5.46429372055102,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
16354,31,0,21,0.565491795539856,2.935878679418915,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
16499,643,1,7,0.40930309891700745,13.82797633673827,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
16517,179,1,14,0.2806037962436676,1.8543341159820557,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
16745,1027,1,17,0.3162785470485687,3.704791833718337,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
16772,15,1,16,0.48589032888412476,5.395356348574417,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
16891,106,1,20,0.5627426505088806,4.006179755943121,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
17021,438,0,23,0.42793765664100647,1.666683141819302,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
17041,121,1,20,0.49375948309898376,7.4430111572825535,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
17048,172,1,3,0.4390805661678314,7.568979592150573,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
17102,176,1,2,0.5597617626190186,1.8543341688058628,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
17130,523,1,7,0.24984708428382874,0.9274099368611016,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
17377,631,0,22,0.6432569026947021,18.381856936214486,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
17440,432,1,7,0.2664855122566223,2.8472617701665226,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
17563,299,0,21,0.6465797424316406,20.243292051076434,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
17601,663,1,8,0.38650062680244446,11.985876172213963,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
17633,240,1,16,0.2192593216896057,4.155162183450573,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
17683,109,1,12,0.5885815620422363,3.4194437444299943,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
17942,94,0,22,0.6022997498512268,0.9274099368611016,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
18059,235,1,5,0.6914303302764893,1.3873647451400757,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
18092,148,1,8,0.4871442914009094,1.3617879143358973,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
18145,176,1,16,0.5729700326919556,2.6230548591305225,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
18149,72,0,24,0.44608157873153687,2.103416475868062,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
18192,87,1,16,0.6813942790031433,7.437284994772562,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
18323,957,1,16,0.2892090380191803,2.512728691101074,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
18399,431,1,19,0.2663673162460327,13.301750518095776,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
18450,540,1,10,0.2682996094226837,5.824736803440649,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
18462,380,1,17,0.4727228581905365,26.17825369410072,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
18529,1133,1,1,0.32505640387535095,4.868746151239621,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
18837,417,1,4,0.30579209327697754,2.7802885155287553,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
18851,293,1,9,0.3620013892650604,9.228766843333327,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
18855,409,1,18,0.5102026462554932,6.464860916137695,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
19102,2696,1,12,0.21977299451828003,7.757317745049853,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
19113,23,1,12,0.4796527922153473,3.707089693093657,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
19198,133,1,13,0.325577050447464,10.096576147615323,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
19252,43,1,20,0.5935384631156921,6.727555410761602,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
19723,93,1,16,0.5595781207084656,2.62238694380135,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
19791,183,1,1,0.4550509750843048,1.447338085858684,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
19837,962,0,24,0.5481981635093689,4.986949810032642,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20091,205,1,6,0.479963093996048,1.3534930933354683,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
20143,274,1,12,0.7608941793441772,1.854334168853263,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
20175,1491,1,1,0.599869966506958,4.186418998024809,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
20293,21,0,23,0.49410971999168396,1.3114577266831975,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
20424,65,1,10,0.2553137540817261,2.813400368344266,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
20426,1036,1,17,0.1773722618818283,6.271329402923584,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
20480,176,1,11,0.3556513488292694,2.076082818112248,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
20537,685,1,19,0.6037442684173584,13.764435946341418,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
20595,416,1,7,0.376169353723526,3.9481905289355566,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
20673,1523,0,21,0.3147274851799011,5.734664552644189,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
20687,754,1,7,0.44153547286987305,12.711677035313318,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
20752,481,0,23,0.24102017283439636,9.805429221546698,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20812,175,1,2,0.523726761341095,21.325617448778484,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
20815,794,1,17,0.5426447987556458,12.453895568847656,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
20819,44,1,7,0.5505367517471313,3.522068251293879,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
20846,119,1,19,0.4965384304523468,15.204735983795855,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
21008,172,0,23,0.2516525685787201,3.611567530566699,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
21037,205,1,12,0.44357678294181824,3.8577088007787843,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
21038,149,1,14,0.6789910793304443,6.343376560971726,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
21070,604,1,4,0.4952567219734192,16.46468816427817,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
21154,56,1,3,0.6084367632865906,2.643620729446411,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
21732,485,1,20,0.40806081891059875,1.9833516256126804,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
21735,528,1,3,0.331304669380188,1.8543341688295631,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
21958,164,1,15,0.3471960127353668,6.730946083600516,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
22055,348,1,15,0.6108924746513367,11.146543502807617,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
22163,813,1,9,0.31930118799209595,20.45501564113518,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
22401,357,1,6,0.4158639907836914,1.3290185773380634,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
22448,622,1,15,0.4231623411178589,5.02476301710112,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
22478,146,0,24,0.6563730239868164,3.909071207046509,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
22652,497,1,12,0.5578023195266724,2.7802884578704834,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
23094,15,1,15,0.6626467704772949,3.3409950597881304,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
23179,207,1,20,0.4816606640815735,0.0,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
23762,441,1,18,0.4499853849411011,8.025535492484146,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
23873,19,1,6,0.543633222579956,5.393006569894164,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
23878,427,1,18,0.5931835174560547,5.917731390810889,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
24081,25,1,9,0.5239695310592651,2.7802885155287553,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
24171,224,1,17,0.3052205443382263,8.306742318830745,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
24272,592,0,22,0.598680853843689,13.484039088066588,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
24283,234,1,2,0.4495317041873932,1.854334168853263,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
24326,313,1,9,0.5363729596138,7.765937091783994,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
24401,202,1,17,0.45009535551071167,2.3890437319407987,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
24524,1057,1,9,0.430635005235672,0.9274099368729609,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
24565,148,0,23,0.5342804789543152,2.6235842125191837,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
24648,938,0,24,0.29121536016464233,0.9274099368611016,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
24678,192,0,21,0.43388599157333374,1.392208741094217,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
24884,109,0,24,0.6194260120391846,9.765745908260786,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
24941,554,1,11,0.14960207045078278,1.7145854826677291,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
25193,166,1,19,0.5195860266685486,8.243135472190433,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
25201,469,1,1,0.5000133514404297,4.7182764372452475,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
25373,1287,0,23,0.57445228099823,3.908700533773945,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
25437,43,1,18,0.38001370429992676,0.9287233440491851,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
25510,410,0,23,0.33937928080558777,3.4643824803374934,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
25548,1445,1,5,0.3678816556930542,3.487782951249593,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
25766,560,0,24,0.3505285382270813,0.9274099368611016,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
25936,525,1,18,0.24162665009498596,3.7045509647060593,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
26010,262,1,8,0.6010444760322571,8.22161724850108,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
26215,994,1,19,0.5279037952423096,18.505271773625825,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
26300,196,1,11,0.6180363893508911,2.9713886375264926,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
26386,1542,0,24,0.43184101581573486,17.4750755067887,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
26515,69,0,22,0.5294823050498962,15.687580419694765,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
26577,338,0,22,0.5945123434066772,5.853991562033618,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
26588,1088,1,6,0.4611746370792389,1.328022863600563,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
26663,957,0,23,0.1922108381986618,26.72911805133833,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
26705,86,1,10,0.5305013060569763,2.6314731833241636,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
26887,160,1,4,0.47273603081703186,4.152423676010251,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
